Symbol,Count,Probability,InverseProbability,MutualInformation,Entropy,Code,CodeLength,TotalBits,AvgCodeLength
к,4,0.000846740050804403,1181.0,10.205793249397157,0.008641653894493782,11111001011,11,44,0.009314140558848433
U,4,0.000846740050804403,1181.0,10.205793249397157,0.008641653894493782,1111100110,10,40,0.00846740050804403
=,4,0.000846740050804403,1181.0,10.205793249397157,0.008641653894493782,1111100111,10,40,0.00846740050804403
M,4,0.000846740050804403,1181.0,10.205793249397157,0.008641653894493782,1111101000,10,40,0.00846740050804403
ó,4,0.000846740050804403,1181.0,10.205793249397157,0.008641653894493782,1111101001,10,40,0.00846740050804403
ç,3,0.0006350550381033022,1574.6666666666667,10.620830748676001,0.006744812075789162,1111101010,10,30,0.006350550381033023
у,3,0.0006350550381033022,1574.6666666666667,10.620830748676001,0.006744812075789162,11111010110,11,33,0.006985605419136324
8,3,0.0006350550381033022,1574.6666666666667,10.620830748676001,0.006744812075789162,11111010111,11,33,0.006985605419136324
-,3,0.0006350550381033022,1574.6666666666667,10.620830748676001,0.006744812075789162,1111101100,10,30,0.006350550381033023
N,3,0.0006350550381033022,1574.6666666666667,10.620830748676001,0.006744812075789162,11111011010,11,33,0.006985605419136324
B,3,0.0006350550381033022,1574.6666666666667,10.620830748676001,0.006744812075789162,11111011011,11,33,0.006985605419136324
简,2,0.0004233700254022015,2362.0,11.205793249397157,0.004744196972649092,11111011100,11,22,0.0046570702794242165
体,2,0.0004233700254022015,2362.0,11.205793249397157,0.004744196972649092,111110111010,12,24,0.005080440304826418
體,2,0.0004233700254022015,2362.0,11.205793249397157,0.004744196972649092,111110111011,12,24,0.005080440304826418
ñ,2,0.0004233700254022015,2362.0,11.205793249397157,0.004744196972649092,11111011110,11,22,0.0046570702794242165
日,2,0.0004233700254022015,2362.0,11.205793249397157,0.004744196972649092,11111011111,11,22,0.0046570702794242165
本,2,0.0004233700254022015,2362.0,11.205793249397157,0.004744196972649092,11111100000,11,22,0.0046570702794242165
語,2,0.0004233700254022015,2362.0,11.205793249397157,0.004744196972649092,11111100001,11,22,0.0046570702794242165
ü,2,0.0004233700254022015,2362.0,11.205793249397157,0.004744196972649092,11111100010,11,22,0.0046570702794242165
ê,2,0.0004233700254022015,2362.0,11.205793249397157,0.004744196972649092,11111100011,11,22,0.0046570702794242165
и,2,0.0004233700254022015,2362.0,11.205793249397157,0.004744196972649092,11111100100,11,22,0.0046570702794242165
й,2,0.0004233700254022015,2362.0,11.205793249397157,0.004744196972649092,111111001010,12,24,0.005080440304826418
O,2,0.0004233700254022015,2362.0,11.205793249397157,0.004744196972649092,111111001011,12,24,0.005080440304826418
Y,2,0.0004233700254022015,2362.0,11.205793249397157,0.004744196972649092,11111100110,11,22,0.0046570702794242165
_,2,0.0004233700254022015,2362.0,11.205793249397157,0.004744196972649092,11111100111,11,22,0.0046570702794242165
í,2,0.0004233700254022015,2362.0,11.205793249397157,0.004744196972649092,11111101000,11,22,0.0046570702794242165
2,2,0.0004233700254022015,2362.0,11.205793249397157,0.004744196972649092,111111010010,12,24,0.005080440304826418
р,2,0.0004233700254022015,2362.0,11.205793249397157,0.004744196972649092,111111010011,12,24,0.005080440304826418
а,2,0.0004233700254022015,2362.0,11.205793249397157,0.004744196972649092,11111101010,11,22,0.0046570702794242165
λ,2,0.0004233700254022015,2362.0,11.205793249397157,0.004744196972649092,11111101011,11,22,0.0046570702794242165
正,1,0.00021168501270110075,4724.0,12.205793249397157,0.002583783499025647,111111011000,12,12,0.002540220152413209
ä,1,0.00021168501270110075,4724.0,12.205793249397157,0.002583783499025647,111111011001,12,12,0.002540220152413209
å,1,0.00021168501270110075,4724.0,12.205793249397157,0.002583783499025647,111111011010,12,12,0.002540220152413209
한,1,0.00021168501270110075,4724.0,12.205793249397157,0.002583783499025647,111111011011,12,12,0.002540220152413209
국,1,0.00021168501270110075,4724.0,12.205793249397157,0.002583783499025647,111111011100,12,12,0.002540220152413209
어,1,0.00021168501270110075,4724.0,12.205793249397157,0.002583783499025647,1111110111010,13,13,0.0027519051651143096
