Symbol,AvgCount,AvgProbability,AvgCodeLength,AvgTotalBits,AvgEntropy
],9.0,0.001905165114309907,9.0,81.0,0.01721482096350415
E,5.0,0.00142277691716385,9.5,46.0,0.013417927226433896
v,10.0,0.004302961248961085,8.0,78.0,0.03259879194872391
A,7.0,0.002574850649882744,9.0,64.0,0.021924963495284985
F,4.5,0.0013169344108132997,10.0,45.0,0.012586293261171364
j,4.0,0.0010289159776335761,10.0,37.0,0.01006280500297883
D,5.5,0.002257323130831093,9.0,49.0,0.019360714953516538
с,5.0,0.0010584250635055038,10.0,50.0,0.010461330603841867
/,4.0,0.0013932678312919226,9.5,38.5,0.013159745427257907
q,5.0,0.0019693046976513697,9.5,47.5,0.01738450046545365
!,5.0,0.0019693046976513697,9.5,47.5,0.01738450046545365
',3.5,0.001105249398112199,10.0,35.0,0.010853678684665448
中,4.0,0.000846740050804403,10.0,40.0,0.008641653894493782
文,4.0,0.000846740050804403,11.0,44.0,0.008641653894493782
к,4.0,0.000846740050804403,11.0,44.0,0.008641653894493782
U,3.5,0.001287425324941372,9.5,33.5,0.012249907072583863
=,4.0,0.000846740050804403,10.0,40.0,0.008641653894493782
M,4.5,0.0018634621913008191,9.0,40.0,0.016474662110779605
ó,4.0,0.0015754437581210956,9.5,38.0,0.014414779980017028
ç,3.0,0.0006350550381033022,10.0,30.0,0.006744812075789162
у,3.0,0.0006350550381033022,11.0,33.0,0.006744812075789162
8,3.0,0.0006350550381033022,11.0,33.0,0.006744812075789162
-,3.5,0.001469601251770545,9.5,33.0,0.013466359070664718
N,2.5,0.0008935643854110981,10.0,25.5,0.008995419420639096
B,2.0,0.0006055459522313746,11.0,22.0,0.006471931162446562
简,2.0,0.0004233700254022015,11.0,22.0,0.004744196972649092
体,2.0,0.0004233700254022015,12.0,24.0,0.004744196972649092
體,2.0,0.0004233700254022015,12.0,24.0,0.004744196972649092
ñ,2.0,0.0004233700254022015,11.0,22.0,0.004744196972649092
日,2.0,0.0004233700254022015,11.0,22.0,0.004744196972649092
本,2.0,0.0004233700254022015,11.0,22.0,0.004744196972649092
語,2.0,0.0004233700254022015,11.0,22.0,0.004744196972649092
ü,2.0,0.0004233700254022015,11.0,22.0,0.004744196972649092
ê,2.0,0.0004233700254022015,11.0,22.0,0.004744196972649092
и,2.0,0.0004233700254022015,11.0,22.0,0.004744196972649092
й,2.0,0.0004233700254022015,12.0,24.0,0.004744196972649092
O,2.0,0.0007877218790605478,11.0,22.0,0.007995111869069062
Y,2.5,0.0010757403122402713,10.0,24.5,0.01030117861166152
_,2.0,0.0004233700254022015,11.0,22.0,0.004744196972649092
í,2.0,0.0007877218790605478,10.5,21.0,0.007995111869069062
2,2.0,0.0007877218790605478,11.0,22.0,0.007995111869069062
р,2.0,0.0004233700254022015,12.0,24.0,0.004744196972649092
а,2.0,0.0004233700254022015,11.0,22.0,0.004744196972649092
λ,2.0,0.0004233700254022015,11.0,22.0,0.004744196972649092
正,1.0,0.00021168501270110075,12.0,12.0,0.002583783499025647
ä,1.0,0.00021168501270110075,12.0,12.0,0.002583783499025647
å,1.0,0.00021168501270110075,12.0,12.0,0.002583783499025647
한,1.0,0.00021168501270110075,12.0,12.0,0.002583783499025647
